X,Bintang,Pengguna,Komen,Tanggal
1533,Diberi rating 5 bintang dari 5 bintang Diberi,Sany Indrianto,murah di banding asuransi sejenis dan mudah di lakukan serta enggak ribet,07/11/2019
1534,Diberi rating 5 bintang dari 5 bintang Diberi,Try Hariyanto,"Sangat membantu,good job cermati",10/11/2019
1535,Diberi rating 5 bintang dari 5 bintang Diberi,Kurniawan Wawan,Tk apk nya Masi banyak blm ada yang kerja sama,11/29/2019
1536,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,Pengajuan saya ngga ada jawaban. Jdi ngga tau.,12/06/2018
1537,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,gk bisa membantu kata nya bisa kalo ndk pake kartu kredit ini ko ndk bisa2,02/11/2019
1538,Diberi rating 1 bintang dari 5 bintang Diberi,Asep Fitrahudin,"Sampai hRi ini sdh hmpir 1 mnggu, pngajuan credit card blm ada kejelasan",02/23/2019
1539,Diberi rating 1 bintang dari 5 bintang Diberi,Liya Ayu,aplikasi apaan nih bodong udah ngajuin dr tgl 23 ampe skrg ga cair2 pas d tlp katanya 3-7 hari cair tapi mana TUNAIKU AMAR BANK,05/09/2019
1540,Diberi rating 5 bintang dari 5 bintang Diberi,Andi Multanto,semoga proses pengajuan pinjaman saya diacc oleh KEB HANA...,02/28/2019
1541,Diberi rating 3 bintang dari 5 bintang Diberi,Purwadi Adhi,"Pasrah aja lah mw di acc apa gk terserah,,id:2M5RPJBG",11/29/2018
1542,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,semoga pengajuan kartu kredit saya di acc. trimakasih,03/25/2019
1543,Diberi rating 1 bintang dari 5 bintang Diberi,iwan sulistiyanto,udh mau sebulan gak ada kejelasan pinjaman gw. cuma ambil data gw doang bastardo,03/18/2019
1544,Diberi rating 3 bintang dari 5 bintang Diberi,Putra Hery,Apa saya datangin kantor nya ya biar pengajuan saya jujur,11/19/2018
1545,Diberi rating 5 bintang dari 5 bintang Diberi,Rus gandi,"5 *,,kapan diacc nya data sudah masuk tolong dikonfirmasi",04/15/2019
1546,Diberi rating 5 bintang dari 5 bintang Diberi,Ria Febrianti,saya mau ganti nomor telepon kok gak bisa ya mohon bantuannya,03/20/2019
1547,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,Semoga bermanfaat untuk yang membutuhkan modal usaha,11/17/2018
1548,Diberi rating 1 bintang dari 5 bintang Diberi,Herry Mardiansyah,"sdh hampir 1 bulan pengajuan, status masih dalam proses, tak ada 1 pun telp untuk konfirmasi",05/11/2019
1549,Diberi rating 4 bintang dari 5 bintang Diberi,Ahmadi eka,4 dulu kalau di acc tambah lagi . pengajuan pertama semoga di acc,05/16/2019
1550,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,saya suda mengajukan kta dari tanggal 8 pebuari tapi belon ada beritanya kapan ya atas nama agustrinazarudin,02/17/2019
1551,Diberi rating 1 bintang dari 5 bintang Diberi,Solekha Vian,aplikasi boong masa saya dah mengajukan tapi gk ada kejelasan sampai sekarang aplikasi PHP,06/16/2019
1552,Diberi rating 1 bintang dari 5 bintang Diberi,iday alonzo,hoax seminggu menunggu tapi pas chat via email ko gabisa cair ahh kecewa!,06/24/2019
1553,Diberi rating 5 bintang dari 5 bintang Diberi,Martin Gunawan,"bagus aplikasinya, sukses selalu",11/11/2019
1554,Diberi rating 1 bintang dari 5 bintang Diberi,Alan Dislan,Susah banget pengajuan katanya mudah tapi ribet,11/15/2019
1555,Diberi rating 3 bintang dari 5 bintang Diberi,chai 0,app pinjam uang ganti nama y kok hilang dari play store ?,09/20/2018
1556,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,berkali2 ngajuin kartu kredit 1 pun ga ada yg di acc payah dah ah,02/13/2019
1557,Diberi rating 1 bintang dari 5 bintang Diberi,Sep Tyan,Ga ad k jelasan ny..dr tgl 2 october smpai sekarang ga ad berita d acc ap ga.,10/27/2018
1558,Diberi rating 3 bintang dari 5 bintang Diberi,Rizal poetra Taziex,Sttus pengajuan di aplikasi updatenya lama.jadi kita tidak tau progress dan hasilnya di acc atau tidak,11/15/2018
1559,Diberi rating 3 bintang dari 5 bintang Diberi,Moo Ramdhani,min mau tanya apakah proses nya di survey ke rumah ??,05/03/2019
1560,Diberi rating 1 bintang dari 5 bintang Diberi,Yayat Supriyatna,saya udh ngajuin pinjaman smpe satu bulan blm ada jawaban. mohon penjelasannya..trims,04/02/2019
1561,Diberi rating 1 bintang dari 5 bintang Diberi,Agung Priyono,"mending pinjam di akulaku,shopintar ataupun indodana proses mudah dan cpt pikiran sy mau nyoba siapa tau proses y cpt trnyata lama banget",04/06/2019
1562,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,tolong dong pengajuan saya cepat di peroses lgi butuh bngt ini tolong dibantu,03/11/2019
1563,Diberi rating 5 bintang dari 5 bintang Diberi,nurabbas pratama,saya harap cepat diacc ya karna saya butuh modal usaha,03/11/2019
1564,Diberi rating 5 bintang dari 5 bintang Diberi,Nicolaus Marakey,aplikasinya benar² nmr wahid dari ngga punya CC sekarang punya 4... thx cermati love u,02/02/2019
1565,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Berharap adanya aplikasi ini bisa benar2 membantu yg sdg membutuhkan.,11/26/2018
1566,Diberi rating 1 bintang dari 5 bintang Diberi,Devi Isan,"Udah hampir blan pengajuan ampe skrng gak d acc,,,parah ni aplikasi",10/30/2018
1567,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,bagus merespon saya dalam pengajuan tpi sayang sampai ditik ini blm di acc?,03/12/2019
1568,Diberi rating 1 bintang dari 5 bintang Diberi,Dedetatang Isk,"Yaaah php, mana lagi butuh banget udah ada janji sm org katanya 3hari verifikasi tp nyata nya gaada kejelasan ditolak apa diacc",06/01/2019
1569,Diberi rating 1 bintang dari 5 bintang Diberi,Darah Biru,ga jelas banget aplikasinya sampai sekarang tidak ada informasi apa2,08/02/2019
1570,Diberi rating 2 bintang dari 5 bintang Diberi,Keyla Mahasari,"Tolong pihak cermati jangan menelpon ke kantor sya,dan data data sya hapus semuah🙏🙏",08/21/2019
1571,Diberi rating 4 bintang dari 5 bintang Diberi,Bunda Nia,Tolong di acc min...lgi urgen bgt....,11/20/2019
1572,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,semoga lebih baik dalam pelayanan terhadap customer,02/11/2019
1573,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,ga ada kabar dari pengajuan bulan agustus smpe skrg,10/26/2018
1574,Diberi rating 5 bintang dari 5 bintang Diberi,Try Ajjh,"gk pernah nunggak tapi kok ngajuin di tolak,padahl pinjaman ke 10,no rekomend",01/14/2019
1575,Diberi rating 5 bintang dari 5 bintang Diberi,Lina Setiawan,cermati gimana kabar nya kartu kredit BRI TOUCH nya kok ngga ada kabar nya,01/31/2019
1576,Diberi rating 1 bintang dari 5 bintang Diberi,Ands Ec.lypse,telfan telfon doang..tp ndak d acc..ndak tau lgi krja kah,03/15/2019
1577,Diberi rating 2 bintang dari 5 bintang Diberi,Muslim,pengajuan ke KEB hana bank tdk ada keputusan sampai sekarang sudah hampir 3bln lebih.. gimaa ni dev..,12/28/2018
1578,Diberi rating 1 bintang dari 5 bintang Diberi,Dw Wi,"Aplikasi PHP.. Jangan mau download.. Semua pengajuan pasti ditolak 100%, gak masuk akal.. tanpa ada kejelasan..",05/19/2019
1579,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"Coba 3 dulu,,,,klau di acc langsung bintang 5",10/09/2018
1580,Diberi rating 5 bintang dari 5 bintang Diberi,Muhammad Rosyidin,saya sangat nyaman dengan aplikasi ini. trima kasih cermati...,04/22/2019
1581,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,udah daptar ko belom di respon respon kata nya pencairan nya mudah dan cepat,01/27/2019
1582,Diberi rating 3 bintang dari 5 bintang Diberi,Pengguna Google,"maaf kasih 3 karna pengajuan saya ga ada tindak lbh lanjut, terimakasih.",03/17/2019
1583,Diberi rating 5 bintang dari 5 bintang Diberi,putra akbar,"bismillahirrahmanirrahim mudah""han ke acc kartu Credit nya amin . saya kasih 5 bintan biar cepat di peroses",05/11/2019
1584,Diberi rating 1 bintang dari 5 bintang Diberi,Yusuf Supardin,"Ga ada kejelasaan, harus dipertimbangkan 100x sebelum instal nih aplikasi",12/14/2018
1585,Diberi rating 5 bintang dari 5 bintang Diberi,Denny Markus,membutuhkan dana untuk buka usaha dan kebutuhan sehari hari,05/26/2019
1586,Diberi rating 1 bintang dari 5 bintang Diberi,CARLES ASTHA,kaga pernah diacc.pengajuan kta yg masuk asuransi lebih dri 4 uhh cape dech nich aplikasi,04/14/2019
1587,Diberi rating 3 bintang dari 5 bintang Diberi,Mochamad Fauzan,Setelah pembaruan aplikasi malah tidak bisa di buka,12/03/2018
1588,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,"udh ngajuin di cermati tp sampe skrang blm ada kabar apa2, gk ada tlp juga dr pihak cermati",02/12/2019
1589,Diberi rating 5 bintang dari 5 bintang Diberi,Khadavie Afrizal,tinggal nunggu d acc dari pihakk yg bersangkutan.. semoga d acc 🙏🙏,06/11/2019
1590,Diberi rating 5 bintang dari 5 bintang Diberi,Denny Andrian,saya sudah pengajuan sejak tanggal 4 juni 2019 sampai sekarang kok belum ada info ya kak?,06/18/2019
1591,Diberi rating 5 bintang dari 5 bintang Diberi,Ramlan Akbar,Saya kasi bintang 5 mudah mudahan pengajuan saya atas nama Ramlan akbar di acc amin amin ya Allah,08/21/2019
1592,Diberi rating 4 bintang dari 5 bintang Diberi,Andri Buncit,"Cmoga dana sya d acc,,bisa mmbantu saya",10/08/2019
1593,Diberi rating 1 bintang dari 5 bintang Diberi,Papa Rock n Roll,Ga ada yg goal.!!!,01/10/2020
1594,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,ko sya udah ajukan pinjam udah 4 hari nga ada infonya di acc apa nga iya binggung,01/22/2019
1595,Diberi rating 1 bintang dari 5 bintang Diberi,Afriadi Menteng,Kapan nih pengajuan pinjaman sy di ACC...sdh lama menunggu gda konfirmasi dr @cermati,03/29/2019
1596,Diberi rating 5 bintang dari 5 bintang Diberi,Luluk Budiyanti,semoga pelayanan tambah bagus dan memuaskan cermati sukses selalu cermati sangat memperhatikan..ukm👍👍👍👍,04/16/2019
1597,Diberi rating 1 bintang dari 5 bintang Diberi,Cakra Setya Purbaya,"kepastian yang cukup lama, dan tidak adanya kejelasan !",01/12/2019
1598,Diberi rating 5 bintang dari 5 bintang Diberi,cahya firmanto,aplikasi mantap dan sangat membatu dan cepet di acc.....,02/01/2019
1599,Diberi rating 3 bintang dari 5 bintang Diberi,ulfa aeni,"ko sya gag bs masuk k aplikasinya cermati yaa,knp itu yaa..",12/09/2018
1600,Diberi rating 5 bintang dari 5 bintang Diberi,Sakti Raka putra,memproses terus sampe berminggu2. gak ada kejelasan,11/16/2018
1601,Diberi rating 5 bintang dari 5 bintang Diberi,Yudi Priyatna,mudah2an di ACC kalo kasih bintang 5 karna dah nunggu lama,04/12/2019
1602,Diberi rating 3 bintang dari 5 bintang Diberi,fitri yanto,saya kasih 3 bintang dulu nanti kalo di acc saya tambah bintangnya,05/30/2019
1603,Diberi rating 1 bintang dari 5 bintang Diberi,mnur ichwan,udh hampir 2 bln masi nunggu proses gada penjelasan dikasi apa kaga hm....,06/11/2019
1604,Diberi rating 5 bintang dari 5 bintang Diberi,Roso pangestu,5 bintang...gak ribet dan pasti di ACC trimakasih,07/25/2019
1605,Diberi rating 5 bintang dari 5 bintang Diberi,Al_ FAHREZI,semoga pengajuan saya d terima untuk memiliki kartu kredit BCA 🙏🏾🙏🏾,08/06/2019
1606,Diberi rating 1 bintang dari 5 bintang Diberi,ega Haeda,Udah mau 2 minggu ga ada kejelasan,10/16/2019
1607,Diberi rating 5 bintang dari 5 bintang Diberi,Suripno Ripno,"bagus banget,klu memang di acc",11/06/2019
1608,Diberi rating 5 bintang dari 5 bintang Diberi,Anggers Official,CERMATI BAIK BAIK APLIKASIMU..,01/09/2020
1609,Diberi rating 1 bintang dari 5 bintang Diberi,Misjan Nurbudiman,app kampret..status masih menunggu institusi terkait..tau nya udah ga d acc😅😅,01/26/2019
1610,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,saya minta tolongg banget semogaa pengajuan pinjaman saya di ACC soalnya ada keperluan mendesak😳,01/03/2019
1611,Diberi rating 1 bintang dari 5 bintang Diberi,Muhammad Irvan,"wahhh kacau, jangan jangan ini bohong yaa ...",05/15/2019
1612,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"Ini aplikasi apaan, udah berapa lama gw nunggu kaya tai",09/15/2018
1613,Diberi rating 4 bintang dari 5 bintang Diberi,Maya Safira Dewi,"saya kasih 4 dulu, jika Sudah disetujui dan acc Baru BiSA dinilai",05/14/2019
1614,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"Berbelit BELIT kaya benang pakusut OMONGANNYA KAYA BOCAH, sudah gue lengkapi beberapa kali tetap aje balesannya belum lengkap terus, kampret cari mukaaa cuihhh",10/28/2018
1615,Diberi rating 1 bintang dari 5 bintang Diberi,Sarifudin Angkasa,"user already exist, trus mau login di manaaa..????",12/22/2018
1616,Diberi rating 5 bintang dari 5 bintang Diberi,Ahmad Maulana,Semoga di bantu untuk mempermudah pengajuan kredit,10/03/2018
1617,Diberi rating 5 bintang dari 5 bintang Diberi,Ifa Sujarta,saya mengajukan kartu kredit kok lama sekaki ya dr tgl 3 sampai sekarang msh proses validasi padahal tertulis Aplikasih sdh lengkap,04/08/2019
1618,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,smoga pngajun sy d acc karna sy sangat membutuhkan dana tmbahan usaha sy..,11/18/2018
1619,Diberi rating 1 bintang dari 5 bintang Diberi,habibie pratama,sudah seminggu lebih prosesnya tp gak ada kejelasan,03/27/2019
1620,Diberi rating 5 bintang dari 5 bintang Diberi,eko sugiyanto,bismillah moga di acc dengan cepat...Amin Ya Allah,10/29/2018
1621,Diberi rating 1 bintang dari 5 bintang Diberi,Noviana Sari,"gak jelas ni apl nagjuin berminggu2 gkada tlpon,gkada konfirmasi, ini dpt bintang 4,1 krna komentar jelek2 smua bukan komen bagus! bad app!",02/11/2019
1622,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,kasi kpastian dong gan acc apa nggk nya. kok masi mnunggu proses terus.,01/11/2019
1623,Diberi rating 1 bintang dari 5 bintang Diberi,Buyung Maulana,apl tolol..oncom..e-mail mulu..sms mulu minta dilengkapi datanya tapi pass gw lengkapin tapi gak disetujuin..maunya apa sih,05/29/2019
1624,Diberi rating 1 bintang dari 5 bintang Diberi,Maya Riyani,Ya aku jg. Ud ajujn di tlp sm csnya cwe.. Cm blg mau cair dpt pinjaman 10jt tenor 6bln.. Smpe skrg ga ad kbr lg,06/13/2019
1625,Diberi rating 4 bintang dari 5 bintang Diberi,Erika Bangka,"sangat cepat, terima kasih cermati sukses selalu",07/09/2019
1626,Diberi rating 5 bintang dari 5 bintang Diberi,Tuti Ahmad,smoga pinjaman kali ini di acc ditondak lanjuti dengan cepat,07/13/2019
1627,Diberi rating 5 bintang dari 5 bintang Diberi,Taufik Akbar,semoga menjadi pilihan terbaik bagi diri saya amiinnn,07/31/2019
1628,Diberi rating 1 bintang dari 5 bintang Diberi,Nurha Epi,Gak jelas.follow up terus udah ada 10 Hari mah.di setujui2 gak2 lama prosesnya,11/14/2019
1629,Diberi rating 1 bintang dari 5 bintang Diberi,Adhe Pratama,Apliksi nya gmna ini di bank msh proses masa blng di tolak Saya ngajuin dh 3 mnggu blm ad info2nyg jls,11/19/2019
1630,Diberi rating 1 bintang dari 5 bintang Diberi,ilham priardi,Sangat tidak bagus,02/06/2020
1631,Diberi rating 5 bintang dari 5 bintang Diberi,Kam To,saya kasih bintang langsung untuk pengajuan ini sya moho bantuanya,04/25/2019
1632,Diberi rating 1 bintang dari 5 bintang Diberi,Ferry Verziantara,baru download sudah di uninstal karena ulasannya bernilai negatif semua,04/16/2019
1633,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,jangan mau download cuma mau ambil data aja ni aplikasi,01/21/2019
1634,Diberi rating 1 bintang dari 5 bintang Diberi,Dar Wanto,aplikasi kontol..bilngn cukup dengan ktp tapi setelah saya ajukan.harus ada npwp slip gaji tae anjing,05/11/2019
1635,Diberi rating 3 bintang dari 5 bintang Diberi,Afif Said,blm di pakai nnt bintang nya bagus jika bagus jg hasilnya,04/02/2019
1636,Diberi rating 3 bintang dari 5 bintang Diberi,Muhammad Ali,Belum menemukan kegunaan apk ini.,10/06/2019
1637,Diberi rating 5 bintang dari 5 bintang Diberi,Robi Haryantoputra,Mudah dan cepat jasa pengajuannya,10/14/2019
1638,Diberi rating 5 bintang dari 5 bintang Diberi,Muhammad Rasya,"Komentar nya bagus2,mudah2an d ACC biar fokus disini aja...",10/03/2018
1639,Diberi rating 1 bintang dari 5 bintang Diberi,Erma Ihsan Nurfallah,lama acc nya... sampe sekarang belom juga !,01/09/2019
1640,Diberi rating 2 bintang dari 5 bintang Diberi,Agung Priyo Utomo,"dari november aampe Januari fak ada kabar, bank udah pickup data dan berkas padahal",01/13/2019
1641,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Biar tambah exsis...langsung kuberi 5 bintang.,10/03/2018
1642,Diberi rating 5 bintang dari 5 bintang Diberi,Susilawati Diah Ayu,"Tlong di acc pinjaman KTA sy, klau pun tdk ksh info dong, jdi ada kpastiannya tq cermati",11/01/2018
1643,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,sya ksi 2 bintang dulu kalau di acc bru sya ksi 5 bintang,02/22/2019
1644,Diberi rating 5 bintang dari 5 bintang Diberi,jimmyjuniar prakoso,Alhamdulillah Di Acc Untuk Kartu Kredit BRI semangat CERMATI,09/12/2018
1645,Diberi rating 5 bintang dari 5 bintang Diberi,putut setiawan,terimakasih Cermati. sudah membantu dalam peminjaman,06/24/2019
1646,Diberi rating 5 bintang dari 5 bintang Diberi,An War,ko pinjeman saya blum di setujui juga udah 1minggu lebih pinjeman nyah lewat cermati DBS saya tungguin udah lama blum ada kabar,07/17/2019
1647,Diberi rating 5 bintang dari 5 bintang Diberi,Ayub Ashadi,Semoga kedepanya BRI makin sukses dan maju melayani setulus hati 😘👍,08/22/2019
1648,Diberi rating 5 bintang dari 5 bintang Diberi,Jae nudin,Tak kasih 5 bintang..mau coba,10/20/2019
1649,Diberi rating 1 bintang dari 5 bintang Diberi,ninda lilia,lama pengajuannya...ga ada kejelasannya,11/12/2019
1650,Diberi rating 5 bintang dari 5 bintang Diberi,Bonang Dani,"Bagus,,tp belum ada yg di acc😥😥😥",11/29/2019
1651,Diberi rating 5 bintang dari 5 bintang Diberi,Mulyadi,Semoga sukses selalu KTA,12/13/2019
1652,Diberi rating 4 bintang dari 5 bintang Diberi,MINAH Ina,Mengatur keuangan,02/29/2020
1653,Diberi rating 1 bintang dari 5 bintang Diberi,mohamad juhdi,"jangan percaya sama cermati mana udah 1 mingu lebih gak ada kabar bossss,",01/16/2019
1654,Diberi rating 1 bintang dari 5 bintang Diberi,ecky kay,gimana nih tentang pengajuan saya gak ada kejelasannya,02/21/2019
1655,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Nice.sangat membantu dan sangat respon.pelayanannya.sangat amat trima kasih cermati,11/14/2018
1656,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Kok lama banget.... Udh di tulis hari senin blm cair2 Juga,02/04/2019
1657,Diberi rating 5 bintang dari 5 bintang Diberi,Ayu leatari Ayu,saya kasih 5 kmrn lg ngajuin kartu keridit cpt peroses nya tpi karna saya ga butuh jd ga di lanjutin skng saya ngajuin kta ko lama ya peroses nya tolong donk di percepat buat biyaya pendidikan makasih sukses buat cermati,05/01/2019
1658,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Aplikasinya dah bangkrut x masa sekian komentar tak satu pun yg d jawab,10/30/2018
1659,Diberi rating 3 bintang dari 5 bintang Diberi,Joddy Junaidi,semoga gak kaya yg lainya kalo beneran saya lebihin makasih,02/04/2019
1660,Diberi rating 5 bintang dari 5 bintang Diberi,Adi Andrianto,"Sangat membantu bagi yg butuh, dan sudah 4 bulan tanpa ada kabar",01/08/2019
1661,Diberi rating 5 bintang dari 5 bintang Diberi,syahrul kartika,CC perdanaQ di Acc lewat Cermati... sangat saya butuhkan bt kerjaan.. Mantapp n Sukses selalu bt Cermati..,08/13/2019
1662,Diberi rating 5 bintang dari 5 bintang Diberi,syabil reload,Mantabz aplikasi nya recommended banget,12/25/2019
1663,Diberi rating 1 bintang dari 5 bintang Diberi,Fitri Kodariah,kasih bintang nya 1 dl klw nanti d acc kartu kredit nya baru ksih bintang 5,11/22/2018
1664,Diberi rating 5 bintang dari 5 bintang Diberi,Haudy Zulfikar,👍mantap cermati ....mudah mudahan pengajuan saya di acc,05/09/2019
1665,Diberi rating 2 bintang dari 5 bintang Diberi,Dedeh Jubaedah,kasih bintang 2 dulu semoga cepet d acc soalya lagi butuh buat bayar pinjaman,12/27/2018
1666,Diberi rating 2 bintang dari 5 bintang Diberi,Pengguna Google,Setelah diperbarui aplikasi cermati selalu force close,10/11/2018
1667,Diberi rating 1 bintang dari 5 bintang Diberi,Herkulanus Virtanlius,Slogannya mudah cepat gampang tapi tidak sesuai harapan,09/22/2018
1668,Diberi rating 5 bintang dari 5 bintang Diberi,susiie links,Sangat membantu bgt .. Tiap ngajuin selalu di ACC terimakasih cermati,12/10/2018
1669,Diberi rating 2 bintang dari 5 bintang Diberi,anggi_ariyanto ORI,Terlalu Susah Untuk Pinjaman nya di oper kemana- mana,12/12/2018
1670,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,"disini seperti lagu CUCAK ROWO, lempar manggis magga kudapat, melamar CC / KTA malah ASURANSI yang ngrebutin. LAMARAN GAGAL...",10/24/2018
1671,Diberi rating 2 bintang dari 5 bintang Diberi,War Kesih,tak kasih 2 dulu nnti klo terbukti tak kasih semua.,04/14/2019
1672,Diberi rating 3 bintang dari 5 bintang Diberi,Alam chanel,"Gak pernah di ACC,,,kalo di ACC di tambah bintang nya",11/27/2018
1673,Diberi rating 5 bintang dari 5 bintang Diberi,Muhamad Iqbal,apliikasi nya sangat membantu.saya ngajuin kartu kredit sudah dalam perjalanan k rumah.KTA pun lancar dpt nya gede pula terimakasih cermati😀,06/26/2019
1674,Diberi rating 1 bintang dari 5 bintang Diberi,code vd,KALAU PINGIN NYUNGSEP HIDUP ente....utang aja disini!!!,08/13/2019
1675,Diberi rating 5 bintang dari 5 bintang Diberi,Sipri Sion,"Sangat bagus,pengajuan juga tidak terlalu rumit",08/22/2019
1676,Diberi rating 5 bintang dari 5 bintang Diberi,Muhammad Wahyu,Berapa lama proses pengajuannya,09/10/2019
1677,Diberi rating 5 bintang dari 5 bintang Diberi,Windhu Wardhana,"Bagus, Semoga Dapat Membantu Saya",11/25/2019
1678,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Recommended aplikasinya bermanfaat..maju terus CERMATI..😊,11/13/2018
1679,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,"Bintang 5 lansung aj...mudah""an d acc...",11/24/2018
1680,Diberi rating 5 bintang dari 5 bintang Diberi,A Wahyu CK,Mudah mudah pengajuan kartu kredit BCA ku di acc,09/27/2018
1681,Diberi rating 1 bintang dari 5 bintang Diberi,Cici Septiani,aplikasi apa nii dari kapan tau masih bacaan proses melulu,04/30/2019
1682,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Di tolak terus pengajuan nya.. Benci aku ..,11/26/2018
1683,Diberi rating 1 bintang dari 5 bintang Diberi,deby anggara,JANGAN DOWNLOAD APLIKASI INI. INI NAMANYA APLIKASI TER KONTOLL DI APP STORE,05/12/2019
1684,Diberi rating 3 bintang dari 5 bintang Diberi,Harry Sukma jaya,pengajuan..Ya pengajuan.. tp gak ada kbr berita nya lg.. 😓😓😓,12/21/2018
1685,Diberi rating 5 bintang dari 5 bintang Diberi,Yunita Gunawan,Terima kasih cermati. Kartu kredit aku disetujui,10/08/2018
1686,Diberi rating 5 bintang dari 5 bintang Diberi,kartoyo toyo,Mudahan disetujui pengajuan kartu kreditnya dan sukses CERMATI,05/11/2019
1687,Diberi rating 5 bintang dari 5 bintang Diberi,Arief Kurniawan,semoga penawaran aplikasi ini tdk hoax atau sekedar penawaran ajah..Amin.,02/07/2019
1688,Diberi rating 3 bintang dari 5 bintang Diberi,Den. drakhalifa,Kaga ada respon2 nya amat nih aplikasi udh mau 3 minggu pengajuan,10/25/2018
1689,Diberi rating 2 bintang dari 5 bintang Diberi,Joko Joe,Lama amat prosesnya ngak ada jawaban pasti..,03/01/2019
1690,Diberi rating 5 bintang dari 5 bintang Diberi,Pengguna Google,Belum berhasil tpi sya kasih bintang 5 aj deh...,10/09/2018
1691,Diberi rating 1 bintang dari 5 bintang Diberi,Denny Boy,"Kaga jelass Mediator ni, aplikasi dari dari berbagai bank bingung",10/09/2018
1692,Diberi rating 5 bintang dari 5 bintang Diberi,Agus Komarudin,CermAti memang sangat peka dgn kebutuhan pinjaman saya,06/11/2019
1693,Diberi rating 5 bintang dari 5 bintang Diberi,Iin Ajah,bagai mana cara melengkapi data yg tlah di aju kan,07/06/2019
1694,Diberi rating 5 bintang dari 5 bintang Diberi,APRI YANTO,sangat membantu dan good lah aplikasi cermati semogga suksess terus dan maju,08/19/2019
1695,Diberi rating 1 bintang dari 5 bintang Diberi,Nico Fredy,Pinjman gk guna Katanya cpat udah brapa hari gk di acc memang gk guna ini gak usa di download,08/27/2019
1696,Diberi rating 5 bintang dari 5 bintang Diberi,Hadi Santoso,Ane kasih bintang 5 supaya di acc deh,09/19/2019
1697,Diberi rating 5 bintang dari 5 bintang Diberi,MBAH TINUZ,Mohon dibantu acc,02/20/2020
1698,Diberi rating 3 bintang dari 5 bintang Diberi,Agus Harjanto,"Aplikasi Cermati,sangat mbantu saya kasih,bntang 3dlu da saya br mau ajuin",11/26/2018
1699,Diberi rating 1 bintang dari 5 bintang Diberi,Ansar Setiawan,G bisa di daerah Sulawesi Selatan klo bukan makassar,09/17/2018
1700,Diberi rating 3 bintang dari 5 bintang Diberi,yogie mulyadi,gak jelas udah dpt komfitm tp gak ada kelanjutannya,01/08/2019
1701,Diberi rating 5 bintang dari 5 bintang Diberi,Bherri Yanto,Aplikasi pinjaman yang bagus dan sangat membantu,03/13/2019
1702,Diberi rating 5 bintang dari 5 bintang Diberi,Haryanta Kompak,tlng dipercepat prosesnya utk mbuktikan bhw aplikasi ini mmg falid. trims.,04/19/2019
1703,Diberi rating 5 bintang dari 5 bintang Diberi,Erni Suryani,"Ngajuin CC BCA ternyata ga gampang jg,tp GPP sih biar BCa nya gak lolos,tp CC Mega,SM BNI nya lolos... terimakasih cermati",11/05/2018
1704,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,"Mudah""an pinjaman sya x ini bisa di acc.trimakasih",09/18/2018
1705,Diberi rating 4 bintang dari 5 bintang Diberi,Pengguna Google,"Tolong d bantu pinjaman saya cermati,terimakasih",10/11/2018
1706,Diberi rating 1 bintang dari 5 bintang Diberi,Pengguna Google,Pengajuan dri tgl 1 november smpe skrng statusnya menunggu aja gila gila,11/20/2018
1707,Diberi rating 5 bintang dari 5 bintang Diberi,Sobri Bri,Aplikasinya gampang gak ribet tpi tinggal nunggu acc thank you cermati,10/17/2018
