,Bintang,Pengguna,Komen,Tanggal
10,Diberi rating 1 bintang dari 5 bintang,paschal madridista,"Ini adalah aplikasi perantara, jika kita mendaftar , baru langsung di alihkan ke berbagai jenis aplikasi pinjaman dan juga bank... Jadi setiap angsuran bisa jadi separuh ke sni, separuh ny ke tujuan yg terpinjam... Jadi bagi yang berminat silakan, cukup membantu tapi ada baik ny di cermati lebih dul...
Ulasan Lengkap",13 Desember 2019
11,Diberi rating 5 bintang dari 5 bintang,Arsand Tanjung,"saya beri rating 5 biar keluhan saya di baca Saya mengajukan beberapa produk kepada applikasi anda.. Saya sudah lama menunggu tapi tidak ada kejelasan pasti dari pihak anda ataupun pihak lain nya.. Saya hanya mau Info apa pengajuan saya di terima atau tidak. Agar saya bisa mengambil Jalan Keluar yan...
Ulasan Lengkap",10 Februari 2020
12,Diberi rating 1 bintang dari 5 bintang,Fajar Vebrianto,"Saya mengajukan melalui tokepedia dan saya ga tau bagaimana cara melihat disetujui atau tidak, saya ingin membatalkan pengajuannya bagaimana caranya? Saya tidak jadi pinjam karena tidak jelas ketika ada sesuatu dengan data saya saya tidak bertanggung jawab dan saya akan laporkan ke ojk, tolong dibat...
Ulasan Lengkap",20 Februari 2020
13,Diberi rating 2 bintang dari 5 bintang,Agus chanel Tea,tolong data saya di hapus saja karena sampe sekarang blm ada kejelasan dari pihak manapun...kalo memang ga di kasih pinjam ya kasih lah pemberitahuan supaya jelas jadi sya bsa cari yg lain,23 Februari 2020
14,Diberi rating 3 bintang dari 5 bintang,Farel Minaj,"Halo, bagaimana ya pengajuan saya? Sudah hampir 2minggu blm juga ada kepastian, saya tlp cs katanya pada sibuk semua, minta tolong sekali untuk admin cermati segera beri kepastian bagaimana kelanjutan untuk pengajuan saya, trims.",14 Desember 2019
15,Diberi rating 5 bintang dari 5 bintang,Hanya Hanyfah,khususnya untuk saya pribadi apapun serba online ... mudah dan tidak harus datang ke kantor untuk pengajuan... dimana saja dan sesibuk apa pun hp slalu dekat.... disetujui atau tidaknya juga tidak harus menunggu duduk diam tapi bisa sambil braktfitas yg lain..,5 Februari 2020
16,Diberi rating 1 bintang dari 5 bintang,bho bhe,Knp ada pihak dari cermati menagih tunggakan kartu kredit saya ?? Padahal saya gak pakai kartu kredit dri bank apa pun. Awas aja ya pihak cermati menyalahgunakan data saya. Akan saya laporkan ke pihak berwajib dan OJK..,17 Desember 2019
17,Diberi rating 5 bintang dari 5 bintang,Jay Armando,Min..sdh 6 hari berlalu...tolong di bantu pengajuan KTA sy...sy sangat sangat sdng butuh dana nya...klo bisa ACC sy anggap dewa penolong buat sy...dan sy akan fokus pada pinjaman yg 1 ini...tolong di bantu min...mksh,17 Januari 2020
18,Diberi rating 5 bintang dari 5 bintang,ara bungaran,Sy sudah mengajukan kartu kredit lewat APP ini dan hasilnya memuaskan. Kita dituntun sampai benar2 mendapatkan yg kita daftarkan bisa dibilang tingkat kinerja mereka mengalahkan tingkat kinerja pelayanan perbankan . Makasih layanannya ya.,11 Desember 2019
19,Diberi rating 1 bintang dari 5 bintang,agam van zoel,"Not friendly Aps,terlalu banyak kolom yg diisi,data yg telah diisi juga tidak bisa dihapus, nomor hp customer servicenya entah dimana.",28 Februari 2020
20,Diberi rating 5 bintang dari 5 bintang,Alvia Aprinaya,"Ni sy kasih bintang 5 sekaligus Mohon maaf...ko segitu lamanya y pengajuan KTA sy, udah lama ko belum ada info juga...bisa di acc g si, kalo g bisa tlg info dong biar g terlalu lama ngarep.",3 Februari 2020
21,Diberi rating 1 bintang dari 5 bintang,Muhammad Bambang,"dari semua pengajuan saya lewat cermati, dari mulai pengajuan kartu kredit sampe pengajuan KTA, hanya pengajuan yg pertama aja yg ada klarifikasi, itu pun d tolak, pengajuan saya yang selanjutnya ga ada kejelasan sama sekali sampe skrang, ,",22 Desember 2019
22,Diberi rating 5 bintang dari 5 bintang,KK C,"Apan nih gak jelas konfirmasi gak ada , customer servis gak ada tetus tanya ke siapa saya ?? TEMBOOOOOKKK?????",1 Maret 2020
23,Diberi rating 5 bintang dari 5 bintang,HAYTONY HAYRUDYN,"Saya mengajukan mulai tgl 11 januari 2020 yg lalu jumlah pinjaman 1.000.000 tenor 3 bulan ,aplikasinya msh di branda hp saya tetapi msh aja menunggu persetujuan ,lama amat BOY, masa iya mau nunggu di setujui ampe jembut memutih...!!!",25 Januari 2020
24,Diberi rating 1 bintang dari 5 bintang,memed samsuri,"apk yg sangat baik dari semua apk terbaik,saking keren nya nih apk,sya ngajuin di 4 bank,udh pir 2 blan gak ad kejelasan..padahal apk2 gak penting kya gini mending di hpus aj,percuma ,cuma buat orng berharap doank...",14 Februari 2020
25,Diberi rating 5 bintang dari 5 bintang,Salimah Imah,"Saya ksh bintg 5,,kartu 💳 saya ko blm di kirim "" ya, kt nya 14 hr krj,, ini ud sebulan lho,, tlng dong,, jgn bikin kecewa,, customer",28 Februari 2020
26,Diberi rating 5 bintang dari 5 bintang,Afandi Permana,Sy akan mencoba pengajuan di app cermati. Smg aj pengajuan sy di setujui.. Sy akan membayar tepat pada waktu nya. Insyaallah,28 Februari 2020
27,Diberi rating 3 bintang dari 5 bintang,Rahmawati putri,Selamat sore cermati ini kok saya mau telpon ke no telpon yg tertera kok ga bisa ya Tadi ada yg telpon apa itu dari cermati apa tidak Soalnya saya lagi pengajuan kta di permata bank saya ingin tau ajh pengajuan saya di acc apa engak,14 Februari 2020
28,Diberi rating 1 bintang dari 5 bintang,Wartini 0702,Pengajuan kartu kredit tidak ada kejelasan sudah 2 bulan.. Tolong konfirmasi jika memang ditolak dan datanya dihapus aja..,1 Maret 2020
29,Diberi rating 1 bintang dari 5 bintang,Theresia Pillot,Kenapa tidak ada pemberitahuan apapun padahal sufah melakukan pengajuan dan di hubUhhngi pihak2 anda melalui telfon dan email. Tolong kejelasannya,18 Februari 2020
30,Diberi rating 1 bintang dari 5 bintang,ilham gunawan,"Aplikasi bangke...data udh diambil SM sales-nya mau dikasih ke bank ini bank itu katanya, pas ditanya gimana ada yg di ACC ga pinjamannya, kaga ada balesan...bangsat nyuri data doank...",10 Januari 2020
31,Diberi rating 5 bintang dari 5 bintang,Azefri Yanto,"Nasib pengajuan saya gimana ini, MASIH MENUNGGU PERSETUJUAN INSTANSI TERKAIT trus, udah hampir sebulan ini bosku,, di telpon sudah hampir berkali, tapi masih aja menunggu... Tolong di bantu bosku...",12 Desember 2019
32,Diberi rating 1 bintang dari 5 bintang,aswanto /sias,"sangat kecewa sama aplikasi ini,, sudah berbulan bulan aku ngajuin kartu kredit tapi tak pernah kau acc, sekarang aku minta kau batalkan pengajuan aku sekarang soal kartu kredit Oke.. aku udah capek nunggu...",28 Januari 2020
33,Diberi rating 5 bintang dari 5 bintang,fendidwisaputro muncus,minta tolong bpk/ibu di bantu data saya untuk di acc di karenakan saya butuh banget......terima kasih...,18 Februari 2020
34,Diberi rating 5 bintang dari 5 bintang,Wijaya Putra,Smoga bisa benar benar membantu wirausaha yg butuh tambahan modal..agar sama sama berkembang dan maju..dan saling menjaga kepercayaan..,12 Januari 2020
35,Diberi rating 1 bintang dari 5 bintang,Icih Margaret,Maaf saya tidak prnh minjem diaplikasi ini dan saya tdk prnh menerima uang diaplikasi ini. Apa apan ada tagihan ke saya atas nama lena nurcahya tolong hapus data saya jangan menyalah gunakan data orang lain,10 Februari 2020
36,Diberi rating 5 bintang dari 5 bintang,Azydh Azydhsuhri,Udah ampir seminggu gan klo gak bisa di acc nya langsung di info kan dong keterangan nya katanya cuman 3 hari langsung cair dana nya ini udah seminggu gak ada kabar2 nya,15 Februari 2020
37,Diberi rating 5 bintang dari 5 bintang,Ray ahmad Risky,"Lengkap, bagus, akurasi data relevan. Merasa nyaman dngn app ini. 1 touch, all conect.. .",19 Februari 2020
38,Diberi rating 1 bintang dari 5 bintang,Sahrul Cahya,Ko pengajuan KTA saya ke paninbank belum jelas satatus nya ya. Padahal sudah 1bln... Data saya sudah lengkap tunggu validasi Mau tanya sampe mana ya progres nya???,13 Januari 2020
39,Diberi rating 1 bintang dari 5 bintang,Taufiq 23,"udah nunggu lama lama, malah proses validasi terus !! awas aja ya kalo data gw d pake yg gk bner. !!",4 Februari 2020
40,Diberi rating 5 bintang dari 5 bintang,hanzone jassminezz,Luar biasa sangat membantu... Semoga bisa semaksimal mungkin membantu nasabah/orang yg membutuhkan pertolongan dalam financialnya sampai ter acc...,15 Februari 2020
41,Diberi rating 1 bintang dari 5 bintang,Abdul Wahid Wahid,"Pengajuan smunya gagal data,sudah lengkap,dan sudah di sertifikasi tapi 1000 alasan gk jelas...tidalk memenuhi syarat,,sangat kecewa dan tidak ingin pengajuan menerima penawaran lagi",24 Januari 2020
42,Diberi rating 5 bintang dari 5 bintang,kicau mania loos,"Bagus sangat membantu.cman sayang,yg kerja sama kurang baik analisisnya..dan hasilnya tidak bakalan di acc.",5 Februari 2020
43,Diberi rating 1 bintang dari 5 bintang,Himam Fadeli,"Aplikasi gak ada gunanya, hanya ambil data, dijanjiin maksimal 14 hari... Tapi ini lebih dari 14 hari... Tolong duit saya dikembalikan saja",11 Februari 2020
44,Diberi rating 1 bintang dari 5 bintang,dhamaer wulanridansyah,ass. pihak cermati sy sdh mengajukan pinjaman ttp knp sampai skrg tidak ada kelnjutan sdgkn data sy sdh lgkp... n klo mmg tidak d setujui tlg data sy d hpus n jgn sampai d salah gunakan,15 Desember 2019
45,Diberi rating 4 bintang dari 5 bintang,Dwi Utami Putri,"Keterangan aplikasi sudah lengkap, menunggu proses validasi. Lama banget yaa. Mohon kepastiannya dong, di acc atau tidak. Biar ngga nunggu-nunggu juga.",5 Desember 2019
46,Diberi rating 5 bintang dari 5 bintang,ria satria,"Kok lama banget yah konfirmasi pinjaman'a... Udah mau 2 hari tapi ga ada konfirmasi apa""",22 Februari 2020
47,Diberi rating 5 bintang dari 5 bintang,wilson hutabarat,Aplikasi yg menolong saya untuk masuk ke bank yg saya butuhkan didalam bisnis jangka panjang termasuk bisnis brilink saya.tks cermati,28 Februari 2020
48,Diberi rating 5 bintang dari 5 bintang,Budi,"Aplikasi sangat membantu untuk mengajukan pinjaman yg sipatnya mendesak, semoga.rekomendasi dari apk ini bisa terus membantu bagi yg membutuhkan, selalu succes selamanya bwt Cermati..",6 Januari 2020
49,Diberi rating 3 bintang dari 5 bintang,Andrie Nastiti,Review nya selesai semua tp begitu di kirim data gak komplit...klo kita cuma karyawan biasa yg gak punya npwp gmn?....apa sy uninstal aja ya?,3 Januari 2020
50,Diberi rating 4 bintang dari 5 bintang,Alby Altarikh,trnyata bnyak yg mengeluh ulasan y saya mau nulis apa juga bingung krna saya sndiri masih menunggu bgmn ini dri pihak terkait tolong donk direspon.trima kasih,14 Februari 2020
51,Diberi rating 4 bintang dari 5 bintang,"Junairi Marwin, ST",Bagaimana cara mèlèngkapi aplikasi yang belum lengkap? Trims Cermati memang OK.,27 Februari 2020
52,Diberi rating 2 bintang dari 5 bintang,Faad addawiel,"Saya melakukan pinjaman , tapi belum ada respon sampai sekarang , saya mengajukan pinjaman di bank CIMB NIAGA extra dana? Tolong di respon",3 Januari 2020
53,Diberi rating 1 bintang dari 5 bintang,Mahfudin Mahfudin,"Seharus nya tdk saya kasih bintang, saya ngajuin sudh lebih dari 1 buln sampai skrng blum ada keputusan nya.di tolak apa tdk nya, tolong hapus data saya",12 Januari 2020
54,Diberi rating 5 bintang dari 5 bintang,Dewi kania Kania,Proses cepat ga ribet yg penting tepat waktu pembayaran semoga nasabah nya banyak yang terpenting jujur tepat waktu bayar semoga Cermat semakin jaya & sukses aminnn y robal alaminnn..,9 Februari 2020
55,Diberi rating 5 bintang dari 5 bintang,Kafka Nafiska,selalu sukses dan berjaya Cermati...saya sudah mengajuan pinjamantgl menunggu proses validasi...semoga ALLAH SWT menyesetujui pinjaman dana dari Cermati....AMIIIIIN,3 Februari 2020
56,Diberi rating 1 bintang dari 5 bintang,Ms Budi,Aplikasi pembohong ini... Ngajuin beli pulsa aja di tolak...mlh ada email masuk tagihan beli pulsa suruh bayar...pemerasan ini nama nya,28 Januari 2020
57,Diberi rating 5 bintang dari 5 bintang,Yosef Windu,aplikasi yang sangat membantu dalam memberikan informasi finansial dalam mengatasi masalah financial,22 Februari 2020
58,Diberi rating 1 bintang dari 5 bintang,Jay Rangga,"mana blum juga di acc tolong di apus aja data sy,,,,aplikasi hoax .masa dah 5 hari masih proses aja,,,",11 Februari 2020
59,Diberi rating 5 bintang dari 5 bintang,arie gunawan,"Semoga di acc pengajuannya,dan tambah sukses dan tambah maju kedepannya bermanfaat buat yg membutuhkan,mutu adalah kepuasan pelanggan,👍",12 Januari 2020
60,Diberi rating 5 bintang dari 5 bintang,Muh Arief Rachman,Tolong perluas lagi wilayahnya.. Biar keliatan kalau kita ini benar2 NKRI yang tidak dibatasi oleh wilayah/domisili. Terimah kasih.,18 Desember 2019
61,Diberi rating 3 bintang dari 5 bintang,Syilvia Putri Utami,"Pengajuannya lama, tidak ada pemberitahuan apakah di ACC atau tidak, memproses terus, mohon kejelasannya, terima kasih",23 Januari 2020
62,Diberi rating 5 bintang dari 5 bintang,Rhafan Alfarez,"Sya berwiraswasta, bisa gg sy mengajukan kpr atau Kur lwt aplksi ini??? Trima ksih",23 Februari 2020
63,Diberi rating 5 bintang dari 5 bintang,Ananda Darryl Baihaqy,Sy kasih bintang 4 supaya bs di cek knp pengajuan kta sy Uda 10 HR blm ada kabar Ats nm nada sy mohon kepastian nya. kr sy sedang membutuhkan bwt byr kuliah ank,15 Februari 2020
64,Diberi rating 1 bintang dari 5 bintang,Ichlas Kurniawan,Ahhh aplikasi g jelas... pinjaman KTA..prett kredit tanpa anjing..ngomong cepat cair da sebulan g d hasil dan info cair apa kaga pinjaman dan kartu kredit..sue..asue..,21 Desember 2019
65,Diberi rating 5 bintang dari 5 bintang,Deni Irawan,Aplikasi yang sangat bagus dan membantu sekali karena dengan cermati aplikasi KTA saya disetujui oleh bank walaupun tanpa jaminan apapun. Terimakasih cermati,10 Desember 2019
66,Diberi rating 1 bintang dari 5 bintang,juny 06,Tidak puas dengan akun cermati data sudah di ambil kurirnya tapi belum tahu kapan acc pengajuan kartu kredit di balas kirim email tapi tidak bisa...,3 Januari 2020
67,Diberi rating 5 bintang dari 5 bintang,Muhamad afriyan,"Terima kasih cermati, saya kasih bintang 5 ya, semoga pengajuan saya cepat di acc",26 Januari 2020
68,Diberi rating 5 bintang dari 5 bintang,wis edan jowo,"Lebih cepat klo pembayaran listrik, pdam, dan tagihan yg lainnya.. Nice",30 Januari 2020
69,Diberi rating 5 bintang dari 5 bintang,Aisah Nurhayati,Aku kasih bintang biar pengajuanku yg ke 2 ini cair ..karena ini sangat aku harapkan Aamiin yra,15 Februari 2020
70,Diberi rating 5 bintang dari 5 bintang,Hermanda Rusdi,Semoga di prose's Dan hasil memuaskan ... Info cepat Dan tangap walau pengajuan nya dlm prose's.,21 Februari 2020
71,Diberi rating 1 bintang dari 5 bintang,Imam Dr,"Pengajuan saya Di Tolak Digibank, tapi di Aplikasi Ini masih Menunggu, Koo ngk singkron shi. 😥😥, Tolong data saya Jangan di selah gunakan.",16 Desember 2019
72,Diberi rating 1 bintang dari 5 bintang,Fiop Tomlo,Saya mengajukan pinjaman sudah 3 minggu masih proses validasi terus .. sebenarnya pengajuan saya bisa cair atau tidak..?,8 Januari 2020
73,Diberi rating 4 bintang dari 5 bintang,Ryan Febryan,Sya sdh mengajukan pinjaman lewat cermati dan di arah ksn kan KEB hana smua data sdh terisi tggl nunggu proses validasi kira2 brp hri prosesnya acc sdgkan sya lum memasukin no rek pencairan di pihak peminjan tolong donk infonta biar jelas..,23 Januari 2020
74,Diberi rating 1 bintang dari 5 bintang,dilla jonna,"Semenjak abis daftar bgnian jd bnyk nomer gk jls masuk , nlp di angkat kga ada suara , tar jg gw lapporin nih ganggu2 org aja mending ada suara dan penjelasan , d angkt kga ada suara nyamee",11 Februari 2020
75,Diberi rating 5 bintang dari 5 bintang,Steven Tholense,"Respon lama,pinjaman cair nya pun lama padahal proses hanya 1 hari",21 Februari 2020
76,Diberi rating 1 bintang dari 5 bintang,jhoksan,Dari tangal berapa pengajuan kta.saya di cermati sampe sekarang belum ada kabar nya di acc apa tidak pas dapat tlpn malah nawarin asuransi,31 Januari 2020
77,Diberi rating 5 bintang dari 5 bintang,Hendrawati totarial,"Tolong dong punya saya di ACC secepatnya , please?? Lagi butuh sekali.🙏",2 Februari 2020
78,Diberi rating 5 bintang dari 5 bintang,Jonathan Al,Saya udah mengajukan KTA udah disetujui terus udah 3hari lebih kok masih menunggu proses validasi.. Sampai kapaann kakk??? Saya butuh uang jugaa ini.. Tolong dong jangan di persulit.. Dosaaa lhohh!,27 November 2019
79,Diberi rating 1 bintang dari 5 bintang,dunia kartun,Dari pertama sampe sekarang blm ada yg di acc tlp aja hampir tiap hari belom ada yg di acc huh php doang lah,6 Desember 2019
80,Diberi rating 3 bintang dari 5 bintang,Ato Suharto,Saya kasih bintang 3 dulu kalau udah bisa baru saya kasih 2 bintang lagi yah ....,13 Desember 2019
81,Diberi rating 2 bintang dari 5 bintang,Kiswanto Heri,Kecewa ..pengajuan dri tgl 30 nov 2019 sampe skrg blm ada kejelasan..tolong jgn memberi harapan palsu trhadap calon pengguna,26 Desember 2019
82,Diberi rating 5 bintang dari 5 bintang,Exoplus Mazhiz,"Mhn bantuan nya, saya baru daftar di apk Cermati tapi kenapa gak bisa memperbaharui data email saya, terima kasih",7 Januari 2020
83,Diberi rating 3 bintang dari 5 bintang,Anugrah m noor,"Aplikasi tdk ada tombol logout. Saat berhasil daftar otomatis dlm posisi login terus, ll untuk apa ada pass word?",1 Februari 2020
84,Diberi rating 1 bintang dari 5 bintang,Rico Ariyanto,ngajuain ke hana tpi gak ada kejelasan padahal tempat kerja saya kerja sama dengan hana,25 Februari 2020
85,Diberi rating 3 bintang dari 5 bintang,Rasya Rahman,Saya mau tanya pengajuan saya gmn ko sampai sekarang blm ad kejelasan nya..,7 Januari 2020
86,Diberi rating 5 bintang dari 5 bintang,Nurma rahma wati Wati,Kemaren saya d tlp dari cermat KTA katanya mao pencairan dana tapi ko sampe sekrng blm ada kputusanya saya dah berpa x cek rening tapi blm masuk mana data saya dah kumplit tolong ibu d bantu ya makasih,23 Januari 2020
87,Diberi rating 1 bintang dari 5 bintang,hendra niaga,Dasar aplikasi tolol beli pulsa belum masuk saldo udah terpotong udah 1 jam blm masuk juga sampai sekrang mau kompirmasi kemna gk ada kontak cermati..bagaimana ini admint cermati respon dong jangan bikin kapok,15 Desember 2019
88,Diberi rating 1 bintang dari 5 bintang,Lucky Boeloexz,min..saya harus sampai kapan nunggu kode verifikasi ?? dr kemarin ga ada trus itu kode .. baik uninstal apa lanjut nih..mohon bantuan nya...bintang 1 dulu..next baru,30 November 2019
89,Diberi rating 1 bintang dari 5 bintang,Apoy Jr.,"ribet gan,ah males kalo gitu ngapain daftar bikin rusak data orang aja..udah ribet lagi soal pengajuanya,pokonya nyesel jangan instal gua mah ngasih tau aja,yang baru mau instal..",2 Desember 2019
90,Diberi rating 5 bintang dari 5 bintang,Bian 78,"**399451 respon cepat,cs memverifikasi ajuan,...memberikan alternatif...ok mksh.sukses bro",11 Januari 2020
91,Diberi rating 4 bintang dari 5 bintang,Caesar Sultan,Knp TDK pernah lolos? Klo TDK bisa tlng data saya di hapus terimakasih,1 Maret 2020
92,Diberi rating 1 bintang dari 5 bintang,Hartini Oktaviani,Ini apk beneran bisa ngebantu ga sih masa pengajuan dlm proses trs dr thun 2018 sya download ttp dlm proses pengajuan ke smua bank mending langsung ke pinjaman yg bersangkutan deh lgsung acc,9 Desember 2019
93,Diberi rating 4 bintang dari 5 bintang,Jae Lani,Smoga pengajuan pinjaman saya di acc.. Jngn klamaan y masa masih menunggu proses validasi trus kpn di acc ny.. Dan tlng di kabarin jika acc atau tidk ny..biar jelas,5 Januari 2020
94,Diberi rating 1 bintang dari 5 bintang,Nanik Lisawati,"Saya sudah mengajukan di beberapa aplikasi, tetapi tidak ada tanggapan sama sekali atau pun tlp.",15 Januari 2020
95,Diberi rating 5 bintang dari 5 bintang,Edy Brokoli,"Mudah""n cepet di ACC dan jd bermanfaat bwt sy gunakan ...aminn",13 Desember 2019
96,Diberi rating 5 bintang dari 5 bintang,Suryadi Official,"Semoga lewat Cermati,pinjamanku dapat disetujui.terimakasih cermati dan sukses selalu",28 Februari 2020
97,Diberi rating 1 bintang dari 5 bintang,Indra Lesmana,"Sudah mengajukan,tapi tidak ada konfirmasi... Payah Di cimb xtra dana Penipu kau",10 Desember 2019
98,Diberi rating 3 bintang dari 5 bintang,Achmad Buchori,Ngakuin Dari tgl 29 bulan januari Ampe skrg Ga Ada kejelasan !,9 Februari 2020
99,Diberi rating 5 bintang dari 5 bintang,Abie Skins,Sukses selalu buat aplikasi cermati..... Mantaaaaaabbbbbb,11 Februari 2020
100,Diberi rating 5 bintang dari 5 bintang,Jamal Udin,knapa menunggu proses validasi terus kpan di acc y kasih keterangan lebih jelas di acc atau ga y jnang di gantung gini min,25 Januari 2020
101,Diberi rating 5 bintang dari 5 bintang,Heru Susanto,Kartu kredit yang saya ajukan berhasil lebih mudah.,9 Februari 2020
102,Diberi rating 5 bintang dari 5 bintang,Yas Mulyani,Aslisi ini aplikasi ngebantu bgt gabisa ditempat yg kita pengen langsung dicariin sampai ke approv. Ahh gilasi sebahagia ini bisa dapet aplikasi ini🥰,22 Januari 2020
103,Diberi rating 5 bintang dari 5 bintang,Ahmad Irfan,"memudahkan pengguna, sangat sangat membantu, terima kasih 😁",14 Februari 2020
104,Diberi rating 1 bintang dari 5 bintang,Muhammad Hamdani,Tlng dong pinjaman atas nama hamdani klo emng di acc secepat nya karna syh butuh. Tpi klo di tolak info nya dong jangan di gantung kaya ginih bos,8 Desember 2019
105,Diberi rating 5 bintang dari 5 bintang,Iskandar As Safei,"Mudah2an pengajuan Kartu Kredit saya di terima, sangat butuh buat modal usaha...",14 Desember 2019
106,Diberi rating 5 bintang dari 5 bintang,agus sugianto -badot,Mudah mudahan bisa karna sudah 4 hari kerja belum ada kejelasan,23 Januari 2020
107,Diberi rating 5 bintang dari 5 bintang,Raja raja,Sangat membantu dalam waktu yang singkat yang saling membutuhkan,26 Januari 2020
108,Diberi rating 5 bintang dari 5 bintang,Putri rifa Hartono,Semoga pinjaman saya atas nama DODI HARTONO di setujui. Mohon kerja sama nya.,19 Desember 2019
109,Diberi rating 1 bintang dari 5 bintang,royadi gepeng,Tolong data sya di hapus di karnakn apliksi ny cuma ngabil data sya..pinjeman sya ngga ada tanggapan sama sekali mohon di bantu pihak cermati,31 Desember 2019
110,Diberi rating 5 bintang dari 5 bintang,Feri Mubarok,saya memerlukan uang buat renovasi rumah bagian dapur min mhon d approv dong,13 Februari 2020
111,Diberi rating 1 bintang dari 5 bintang,Wisnu Tyantoro,Pengajuan dari tggl 14 sampe sekarang tidak ada penjelasan,18 Januari 2020
112,Diberi rating 5 bintang dari 5 bintang,Sinar Pakpahan,"Proses mudah, dan pencairan dana cepat, saya suka, dan rumah saya tidak bocor lgi 😊😊😊😊😊😊😊",25 Desember 2019
113,Diberi rating 1 bintang dari 5 bintang,Herman Ajja,aplikasi ngk jelas....tlng hapus data sy ngk kl ngk mau urusannya panjang...,25 Januari 2020
114,Diberi rating 1 bintang dari 5 bintang,oke cancel,Cermati apaan sihh buat susah aja Sudah di ajukan tetap saja tidak bisa,6 Januari 2020
115,Diberi rating 5 bintang dari 5 bintang,Pricilia SE,Saya sangat senang dengan hasil. Respon nya juga cepat.,9 Januari 2020
116,Diberi rating 3 bintang dari 5 bintang,Agung Widianto,"Mengapa aplikasi pengajuan saya masih proses validasi saja, mohon segera di infokan",19 Januari 2020
117,Diberi rating 5 bintang dari 5 bintang,Tinirustini Tini,"Mudah""an cepat di hubungin dan langsung di acc",25 Februari 2020
118,Diberi rating 1 bintang dari 5 bintang,Mustopa Kamal,Kok lama ya.pengajuan dr tgl 10 desember sampe skrng..trmksh,13 Januari 2020
119,Diberi rating 5 bintang dari 5 bintang,Siti hotijah,Sy dah brp kli ngajuin blm jg ada blsanny. Knp y. Klo TDK diacc ya hrs ada blsanny TDK diacc.,29 Desember 2019
